,subject,Test,Score,Mu,Sigma,Tau,SCamp
241,46,RAPM,0.16424589592824848,174.74081003499995,56.33566037,129.70225748500002,5.074829683698299
242,47,RAPM,0.5568336471713803,166.15345601,60.84816386,87.148174695,3.9239006211180048
243,48,RAPM,0.16424589592824848,166.79726692000003,31.284823870000004,143.337297615,4.838801004394228
244,49,RAPM,0.5568336471713803,169.54260018,55.69065665,179.69248557,4.0175408348457315
245,50,RAPM,0.5568336471713803,175.18121206,47.42251921,109.53778844,5.028406169665812
246,51,RAPM,1.3420091496576434,155.967304805,46.399702425,107.521968245,4.710694618272847
247,52,RAPM,0.16424589592824848,162.39879905499996,65.896816685,144.272228815,4.4542183817753385
248,53,RAPM,-1.406105109044278,170.34762358,55.651324115,150.044068255,6.066740376740369
249,54,RAPM,-0.6209296065580149,165.839965965,42.52482759,126.182345545,4.5710148674854585
250,55,RAPM,-1.7986928602874095,174.994429655,83.151359025,107.32506305,5.5288480222068
251,56,RAPM,-0.2283418553148831,138.97136471,21.51784741,124.86735692,3.5655865272938416
252,57,RAPM,-1.0135173578011465,158.92383588,46.17742325,169.89752879,5.6736548672566345
253,58,RAPM,-1.406105109044278,137.399359465,38.64646857,185.35665055,3.52252330226365
254,59,RAPM,1.7345969009007751,162.40222391499995,61.28383782,161.741166915,4.199703652653342
255,60,RAPM,0.9494213984145116,127.39301294,39.484329175,111.54174584,3.758619599578505
256,61,RAPM,-1.0135173578011465,165.357800185,38.03592057,174.297160735,4.16570318021202
